Author,DateOfConversation,CodingLanguage,day_name
Tommie1236,2023-09-10,CSS,Sunday
ariel1985,2023-09-13,HTML,Wednesday
yuyu31,2023-07-06,HTML,Thursday
jabrena,2023-07-08,Java,Saturday
jabrena,2023-07-07,Java,Friday
purpleslurple,2023-09-10,PHP,Sunday
byronwall,2023-09-09,TypeScript,Saturday
DovieW,2023-09-04,TypeScript,Monday
DovieW,2023-09-03,TypeScript,Sunday
aretrace,2023-09-06,TypeScript,Wednesday
harupy,2023-09-05,Python,Tuesday
jabrena,2023-09-02,Java,Saturday
Matejkob,2023-08-26,Swift,Saturday
purpleslurple,2023-09-01,PHP,Friday
purpleslurple,2023-08-11,PHP,Friday
JarbasAl,2023-06-07,,Wednesday
vemv,2023-09-13,Clojure,Wednesday
rane254,2023-08-06,Java,Sunday
smuu,2023-08-10,Go,Thursday
Bisllly,2023-08-06,Java,Sunday
santosomar,2023-08-01,Python,Tuesday
bestian,2023-08-05,JavaScript,Saturday
pavlovcik,2023-08-07,,Monday
rensanrenren,2023-08-21,,Monday
kid-oh,2023-09-12,JavaScript,Tuesday
smh9800,2023-07-19,C,Wednesday
smh9800,2023-07-18,C,Tuesday
liyongsea,2023-07-18,Jupyter Notebook,Tuesday
eguneys,2023-07-27,HTML,Thursday
mccaffary,2023-09-12,Python,Tuesday
marcusziade,2023-09-04,Swift,Monday
fczuardi,2023-07-10,TypeScript,Monday
purpleslurple,2023-08-27,PHP,Sunday
wolfgangmeyers,2023-07-16,TypeScript,Sunday
KastanDay,2023-08-21,Python,Monday
udayhello,2023-07-20,Python,Thursday
jabrena,2023-07-13,Java,Thursday
jabrena,2023-06-20,Java,Tuesday
namu6747,2023-06-25,Java,Sunday
cugarteblair,2023-08-24,Python,Thursday
pavlovcik,2023-08-26,,Saturday
csrsaviar,2023-06-30,,Friday
harigopal,2023-09-05,Ruby,Tuesday
micartey,2023-09-07,Java,Thursday
Sricharan2k3,2023-06-19,HTML,Monday
alesanchezr,2023-08-09,CSS,Wednesday
sachinmehta07,2023-06-12,,Monday
arunbatchu,2023-06-24,Python,Saturday
Vandivier,2023-07-02,TypeScript,Sunday
tisztamo,2023-08-18,Shell,Friday
Richie-Lee,2023-09-08,Jupyter Notebook,Friday
maxoja,2023-08-31,Python,Thursday
rensanrenren,2023-06-02,Python,Friday
ajschumacher,2023-07-09,HTML,Sunday
osamaramihafez,2023-06-12,JavaScript,Monday
teremterem,2023-06-05,Python,Monday
aahnik,2023-07-10,Python,Monday
mikedotexe,2023-09-07,Rust,Thursday
RobotsBuildingEducation,2023-09-01,TypeScript,Friday
vemv,2023-07-26,Clojure,Wednesday
Takuzen,2023-06-05,TypeScript,Monday
fredyk,2023-09-05,Go,Tuesday
toshihue,2023-08-14,Vue,Monday
sanjarcode,2023-07-26,,Wednesday
DylanHalstead,2023-09-07,,Thursday
colinmegill,2023-05-29,,Monday
moom0o,2023-07-28,JavaScript,Friday
jabrena,2023-08-23,Java,Wednesday
asemabdelmonem,2023-08-29,,Tuesday
AronNovak,2023-09-05,PHP,Tuesday
FreePhoenix888,2023-08-13,TypeScript,Sunday
slark-prime,2023-08-02,Python,Wednesday
eric-volz,2023-08-11,Python,Friday
theory,2023-08-16,Perl,Wednesday
dave-007,2023-06-12,,Monday
Dawinartor,2023-08-24,JavaScript,Thursday
austin-yoshino,2023-06-27,,Tuesday
temberature,2023-07-11,HTML,Tuesday
lmossman,2023-08-14,Python,Monday
KieranIRL,2023-09-10,TypeScript,Sunday
GYC-lab,2023-09-09,TypeScript,Saturday
anandcsingh,2023-07-23,TypeScript,Sunday
EddieLukeAtmey,2023-05-29,,Monday
jabrena,2023-07-17,Java,Monday
CakeCrusher,2023-08-16,Python,Wednesday
MooreManor,2023-08-02,Python,Wednesday
Dushyant1295,2023-05-30,PHP,Tuesday
sync-by-unito,2023-06-28,TypeScript,Wednesday
Konard,2023-07-16,TypeScript,Sunday
capoaira,2023-08-01,JavaScript,Tuesday
rensanrenren,2023-06-01,Python,Thursday
shimizu,2023-08-03,Game Maker Language,Thursday
civsiv,2023-09-06,JavaScript,Wednesday
CrosRoad95,2023-06-04,C++,Sunday
arya2,2023-08-19,Go,Saturday
bbelderbos,2023-06-09,Python,Friday
LukeberryPi,2023-06-09,TypeScript,Friday
winglian,2023-08-13,Python,Sunday
martyu,2023-06-20,Swift,Tuesday
dhnaranjo,2023-07-08,Python,Saturday
jllanfranchi,2023-07-03,Python,Monday
lamlengend98,2023-05-29,C++,Monday
MaryamZi,2023-08-07,Java,Monday
KOLANICH,2023-07-26,Python,Wednesday
birdify,2023-06-19,JavaScript,Monday
hahn-kev,2023-08-04,C#,Friday
kcarnold,2023-06-07,Jupyter Notebook,Wednesday
quaxalber,2023-08-20,Python,Sunday
albertcastaned,2023-06-19,JavaScript,Monday
jabrena,2023-08-19,Java,Saturday
ErikBjare,2023-07-08,TypeScript,Saturday
freestylerick,2023-05-31,Python,Wednesday
eniehack,2023-08-27,Astro,Sunday
nopara73,2023-08-15,C#,Tuesday
dogi,2023-09-06,Java,Wednesday
pdurbin,2023-09-11,C,Monday
nonprofittechy,2023-06-13,Python,Tuesday
arumie,2023-07-31,TypeScript,Monday
EccentricKnight,2023-08-24,Python,Thursday
dave1010,2023-07-22,Zig,Saturday
simonw,2023-09-11,Python,Monday
yzpocket,2023-09-07,Java,Thursday
CMCDragonkai,2023-08-19,TypeScript,Saturday
Glavin001,2023-09-09,Jupyter Notebook,Saturday
geohot,2023-09-06,Python,Wednesday
pavlovcik,2023-09-12,TypeScript,Tuesday
Yukaii,2023-06-18,,Sunday
simonw,2023-09-12,Python,Tuesday
gwpl,2023-07-01,JavaScript,Saturday
CrosRoad95,2023-06-26,C++,Monday
forrestsmithfb,2023-08-26,C++,Saturday
ArdenHide,2023-08-15,C#,Tuesday
camdotcom14,2023-08-03,Python,Thursday
CakeCrusher,2023-08-19,JavaScript,Saturday
certik,2023-08-14,C++,Monday
bdc-ehealth,2023-09-07,GLSL,Thursday
marcodotcastro,2023-08-28,Ruby,Monday
neilenns,2023-07-24,JavaScript,Monday
ruslandoga,2023-07-04,C++,Tuesday
nmck257,2023-06-29,Java,Thursday
